x,y
2221,1450
2215,1450
2215,1451
2208,1451
2208,1452
2205,1452
2205,1453
2202,1453
2202,1454
2199,1454
2199,1455
2197,1455
2197,1456
2196,1456
2196,1457
2195,1457
2195,1458
2183,1458
2183,1459
2180,1459
2180,1460
2177,1460
2177,1461
2174,1461
2174,1462
2172,1462
2172,1463
2170,1463
2170,1464
2168,1464
2168,1465
2167,1465
2167,1466
2165,1466
2165,1467
2160,1467
2160,1466
2159,1466
2159,1465
2158,1465
2158,1464
2157,1464
2157,1463
2156,1463
2156,1462
2155,1462
2155,1461
2153,1461
2153,1460
2151,1460
2151,1459
2149,1459
2149,1458
2147,1458
2147,1457
2144,1457
2144,1456
2141,1456
2141,1455
2137,1455
2137,1454
2120,1454
2120,1455
2117,1455
2117,1456
2115,1456
2115,1457
2113,1457
2113,1458
2112,1458
2112,1459
2110,1459
2110,1460
2109,1460
2109,1461
2107,1461
2107,1462
2106,1462
2106,1463
2100,1463
2100,1464
2094,1464
2094,1465
2091,1465
2091,1466
2089,1466
2089,1465
2083,1465
2083,1464
2081,1464
2081,1463
2078,1463
2078,1462
2075,1462
2075,1461
2071,1461
2071,1460
2068,1460
2068,1461
2061,1461
2061,1462
2055,1462
2055,1463
2052,1463
2052,1464
2050,1464
2050,1465
2048,1465
2048,1466
2046,1466
2046,1467
2043,1467
2043,1468
2038,1468
2038,1467
2032,1467
2032,1468
2028,1468
2028,1469
2025,1469
2025,1470
2023,1470
2023,1471
2021,1471
2021,1472
2020,1472
2020,1473
2018,1473
2018,1474
2016,1474
2016,1475
2000,1475
2000,1474
1996,1474
1996,1473
1993,1473
1993,1472
1992,1472
1992,1471
1990,1471
1990,1470
1988,1470
1988,1469
1986,1469
1986,1468
1984,1468
1984,1467
1983,1467
1983,1466
1981,1466
1981,1465
1977,1465
1977,1464
1971,1464
1971,1463
1965,1463
1965,1464
1961,1464
1961,1465
1949,1465
1949,1464
1930,1464
1930,1463
1926,1463
1926,1462
1925,1462
1925,1461
1924,1461
1924,1460
1922,1460
1922,1459
1920,1459
1920,1458
1918,1458
