x,y
2297,651
2297,653
2298,653
2298,654
2299,654
2299,655
2300,655
2300,656
2301,656
2301,657
2302,657
2302,658
2303,658
2303,659
2304,659
2304,660
2306,660
2306,661
2307,661
2307,662
2310,662
2310,663
2312,663
2312,664
2315,664
2315,665
2325,665
2325,664
2328,664
2328,663
2331,663
2331,662
2333,662
2333,661
2334,661
2334,660
2336,660
2336,659
2337,659
2337,658
2339,658
2339,657
2340,657
2340,655
2341,655
2341,654
2342,654
2342,653
2343,653
2343,652
2344,652
2344,651
2346,651
2346,652
2347,652
2347,654
2348,654
2348,655
2349,655
2349,657
2350,657
2350,658
2351,658
2351,659
2352,659
2352,660
2353,660
2353,661
2354,661
2354,663
2355,663
2355,664
2356,664
2356,665
2358,665
2358,666
2359,666
2359,667
2361,667
2361,668
2363,668
2363,669
2365,669
2365,670
2369,670
2369,671
2378,671
2378,670
2382,670
2382,669
2384,669
2384,668
2387,668
2387,667
2388,667
2388,666
2390,666
2390,665
2391,665
2391,664
2393,664
2393,663
2394,663
2394,662
2395,662
2395,661
2396,661
2396,660
2397,660
2397,659
2398,659
2398,658
2400,658
2400,657
2401,657
2401,656
2402,656
2402,655
2403,655
2403,654
2404,654
2404,653
2408,653
2408,654
2410,654
2410,655
2412,655
2412,656
2415,656
2415,657
2419,657
2419,658
2431,658
2431,657
2433,657
2433,658
2437,658
2437,659
2439,659
2439,660
2442,660
2442,661
2444,661
2444,662
2447,662
2447,663
2451,663
2451,664
2452,664
2452,1495
2449,1495
2449,1494
2447,1494
2447,1493
2446,1493
2446,1492
2444,1492
2444,1491
2442,1491
2442,1490
2439,1490
2439,1489
2426,1489
2426,1490
2421,1490
2421,1491
2413,1491
2413,1492
2405,1492
2405,1493
2402,1493
2402,1494
2399,1494
2399,1495
2396,1495
2396,1496
2394,1496
2394,1497
2390,1497
2390,1494
2389,1494
2389,1491
2388,1491
2388,1486
2387,1486
2387,1483
2386,1483
2386,1481
2385,1481
2385,1479
2384,1479
2384,1477
2383,1477
2383,1476
2382,1476
2382,1475
2381,1475
2381,1474
2379,1474
2379,1473
2377,1473
2377,1472
2375,1472
2375,1471
2372,1471
2372,1470
2363,1470
2363,1471
2360,1471
2360,1472
2358,1472
2358,1473
2356,1473
2356,1474
2355,1474
2355,1475
2353,1475
2353,1476
2352,1476
2352,1477
2351,1477
2351,1479
2350,1479
2350,1480
2349,1480
2349,1482
2348,1482
2348,1484
2347,1484
2347,1487
2346,1487
2346,1495
2347,1495
2347,1498
2348,1498
2348,1501
2349,1501
2349,1503
2350,1503
2350,1505
2351,1505
2351,1509
2350,1509
2350,1510
2344,1510
2344,1511
2339,1511
2339,1512
2336,1512
2336,1513
2334,1513
2334,1514
2332,1514
2332,1515
2330,1515
2330,1516
2329,1516
2329,1517
2327,1517
2327,1518
2325,1518
2325,1519
2324,1519
2324,1520
2317,1520
2317,1519
2316,1519
2316,1518
2315,1518
2315,1516
2314,1516
2314,1515
2313,1515
2313,1514
2312,1514
2312,1513
2311,1513
2311,1512
2309,1512
2309,1511
2308,1511
2308,1510
2305,1510
2305,1509
2293,1509
2293,1510
2291,1510
2291,1511
2289,1511
2289,1512
2287,1512
2287,1513
2285,1513
2285,1514
2279,1514
2279,1513
2276,1513
2276,1512
2274,1512
2274,1511
2269,1511
2269,1510
2267,1510
2267,1511
2262,1511
2262,1512
2259,1512
2259,1513
2257,1513
2257,1514
2255,1514
2255,1515
2254,1515
2254,1516
2253,1516
2253,1517
2251,1517
2251,1518
2250,1518
2250,1519
2248,1519
2248,1520
2247,1520
2247,1521
2245,1521
2245,1522
2243,1522
2243,1523
2240,1523
2240,1524
2238,1524
2238,1525
2235,1525
2235,1526
2233,1526
2233,1527
2230,1527
2230,1528
2227,1528
2227,1529
2224,1529
2224,1530
2222,1530
2222,1531
2219,1531
2219,1532
2217,1532
2217,1533
2215,1533
2215,1534
2213,1534
2213,1535
2212,1535
2212,1536
2210,1536
2210,1537
2209,1537
2209,1538
2208,1538
2208,1539
2207,1539
2207,1540
2206,1540
2206,1541
2204,1541
2204,1542
2203,1542
2203,1543
2202,1543
2202,1545
2201,1545
2201,1546
2200,1546
2200,1547
2199,1547
2199,1548
2198,1548
2198,1550
2197,1550
2197,1552
2196,1552
2196,1553
2195,1553
2195,1555
2194,1555
2194,1557
2193,1557
2193,1558
2192,1558
2192,1559
2189,1559
2189,1560
2178,1560
2178,1559
2175,1559
2175,1558
2173,1558
2173,1557
2171,1557
2171,1556
2169,1556
2169,1555
2167,1555
2167,1554
2165,1554
2165,1553
2163,1553
2163,1552
2161,1552
2161,1551
2160,1551
2160,1550
2159,1550
2159,1549
2158,1549
2158,1547
2157,1547
2157,1546
2156,1546
2156,1544
2155,1544
2155,1543
2154,1543
2154,1542
2153,1542
2153,1541
2152,1541
2152,1540
2151,1540
2151,1539
2150,1539
2150,1538
2149,1538
2149,1537
2148,1537
2148,1536
2147,1536
2147,1535
2145,1535
2145,1534
2144,1534
2144,1533
2142,1533
2142,1532
2140,1532
2140,1531
2137,1531
2137,1530
2134,1530
2134,1529
2122,1529
2122,1530
2119,1530
2119,1531
2117,1531
2117,1532
2115,1532
2115,1533
2113,1533
2113,1534
2112,1534
2112,1535
2111,1535
2111,1536
2110,1536
2110,1537
2109,1537
2109,1538
2108,1538
2108,1539
2107,1539
2107,1541
2106,1541
2106,1543
2105,1543
2105,1544
2104,1544
2104,1545
2083,1545
2083,1544
2082,1544
2082,1542
2081,1542
2081,1539
2080,1539
2080,1536
2079,1536
2079,1535
2078,1535
2078,1533
2077,1533
2077,1532
2076,1532
2076,1531
2075,1531
2075,1530
2073,1530
2073,1529
2072,1529
2072,1528
2070,1528
2070,1527
2068,1527
2068,1526
2063,1526
2063,1525
2060,1525
2060,1526
2055,1526
2055,1527
2052,1527
2052,1528
2050,1528
2050,1529
2048,1529
2048,1530
2047,1530
2047,1531
2046,1531
2046,1532
2045,1532
2045,1533
2044,1533
2044,1534
2043,1534
2043,1536
2042,1536
2042,1538
2041,1538
2041,1540
2040,1540
2040,1542
2039,1542
2039,1543
2038,1543
2038,1545
2037,1545
2037,1546
2036,1546
2036,1547
2030,1547
2030,1546
2029,1546
2029,1545
2025,1545
2025,1544
2014,1544
2014,1545
2011,1545
2011,1546
2006,1546
2006,1547
2003,1547
2003,1548
2000,1548
2000,1549
1998,1549
1998,1550
1996,1550
1996,1551
1995,1551
1995,1552
1993,1552
1993,1553
1989,1553
1989,1554
1984,1554
1984,1555
1974,1555
1974,1554
1973,1554
1973,1553
1972,1553
1972,1552
1971,1552
1971,1551
1970,1551
1970,1550
1968,1550
1968,1549
1967,1549
1967,1548
1966,1548
1966,1547
1965,1547
1965,1546
1964,1546
1964,1545
1963,1545
1963,1543
1962,1543
1962,1541
1961,1541
1961,1540
1960,1540
1960,1538
1959,1538
1959,1536
1958,1536
1958,1534
1957,1534
1957,1532
1956,1532
1956,1531
1955,1531
1955,1529
1954,1529
1954,1528
1953,1528
1953,1527
1951,1527
1951,1526
1950,1526
1950,1525
1948,1525
1948,1524
1946,1524
1946,1523
1944,1523
1944,1522
1943,1522
1943,1521
1942,1521
1942,1520
1940,1520
1940,1519
1939,1519
1939,1518
1938,1518
1938,1517
1937,1517
1937,1516
1936,1516
1936,1515
1934,1515
1934,1514
1932,1514
1932,1513
1929,1513
1929,1512
1917,1512
1917,1513
1902,1513
1902,1512
1890,1512
1890,1513
1888,1513
1888,1514
1886,1514
1886,1515
1885,1515
1885,1516
1884,1516
1884,1517
1883,1517
1883,1519
1882,1519
1882,1520
1881,1520
1881,1521
1880,1521
1880,1522
1878,1522
1878,1521
1873,1521
1873,1522
1865,1522
1865,1521
1863,1521
1863,1522
1857,1522
1857,1523
1854,1523
1854,1522
1853,1522
1853,1521
1852,1521
1852,1519
1851,1519
1851,1518
1850,1518
1850,1517
1849,1517
1849,1516
1848,1516
1848,1515
1847,1515
1847,1513
1846,1513
1846,1512
1845,1512
1845,1511
1844,1511
1844,1510
1842,1510
1842,1509
1841,1509
1841,1508
1839,1508
1839,1507
1837,1507
1837,1506
1833,1506
1833,1505
1826,1505
1826,1506
1822,1506
1822,1507
1819,1507
1819,1508
1813,1508
1813,1507
1811,1507
1811,1506
1810,1506
1810,1505
1808,1505
1808,1504
1806,1504
1806,1503
1805,1503
1805,1502
1802,1502
1802,1501
1799,1501
1799,1500
1788,1500
1788,1501
1785,1501
1785,1502
1782,1502
1782,1503
1780,1503
1780,1504
1778,1504
1778,1505
1777,1505
1777,1506
1776,1506
1776,1507
1775,1507
1775,1508
1774,1508
1774,1509
1773,1509
1773,1510
1772,1510
1772,1511
1771,1511
1771,1512
1770,1512
1770,1514
1769,1514
1769,1516
1768,1516
1768,1518
1767,1518
1767,1521
1766,1521
1766,1526
1765,1526
1765,1529
1764,1529
1764,1532
1763,1532
1763,1535
1762,1535
1762,1538
1761,1538
1761,1540
1760,1540
1760,1542
1759,1542
1759,1543
1758,1543
1758,1545
1757,1545
1757,1546
1756,1546
1756,1547
1755,1547
1755,1548
1754,1548
1754,1549
1753,1549
1753,1551
1752,1551
1752,1552
1751,1552
1751,1553
1750,1553
1750,1556
1749,1556
1749,1559
1748,1559
1748,1565
1747,1565
1747,1568
1746,1568
1746,1579
1745,1579
1745,1580
1741,1580
1741,1581
1739,1581
1739,1582
1738,1582
1738,1584
1737,1584
1737,1585
1736,1585
1736,1586
1735,1586
1735,1587
1734,1587
1734,1588
1733,1588
1733,1589
1731,1589
1731,1590
1730,1590
1730,1591
1729,1591
1729,1592
1728,1592
1728,1593
1727,1593
1727,1595
1726,1595
1726,1597
1725,1597
1725,1598
1724,1598
1724,1600
1723,1600
1723,1601
1722,1601
1722,1603
1721,1603
1721,1609
1722,1609
1722,1611
1723,1611
1723,1613
1724,1613
1724,1614
1725,1614
1725,1615
1726,1615
1726,1616
1727,1616
1727,1617
1728,1617
1728,1618
1729,1618
1729,1619
1730,1619
1730,1620
1731,1620
1731,1621
1733,1621
1733,1622
1734,1622
1734,1623
1735,1623
1735,1624
1736,1624
1736,1625
1737,1625
1737,1627
1738,1627
1738,1629
1739,1629
1739,1633
1738,1633
1738,1634
1732,1634
1732,1635
1729,1635
1729,1636
1727,1636
1727,1637
1725,1637
1725,1638
1723,1638
1723,1639
1721,1639
1721,1640
1720,1640
1720,1641
1718,1641
1718,1642
1717,1642
1717,1643
1716,1643
1716,1644
1715,1644
1715,1645
1714,1645
1714,1647
1713,1647
1713,1648
1712,1648
1712,1649
1711,1649
1711,1651
1710,1651
1710,1653
1709,1653
1709,1656
1708,1656
1708,1661
1707,1661
1707,1668
1708,1668
1708,1673
1709,1673
1709,1675
