run,limiar,arquivo,area_px,iou,vazia,tem_ferida
unet_black_seed42,0.1,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,295691,0.905149,0,1
unet_black_seed42,0.2,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,284675,0.912194,0,1
unet_black_seed42,0.3,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,278423,0.913135,0,1
unet_black_seed42,0.4,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,273612,0.911259,0,1
unet_black_seed42,0.5,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,270063,0.907572,0,1
unet_black_seed42,0.6,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,266129,0.902911,0,1
unet_black_seed42,0.7,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,261806,0.89557,0,1
unet_black_seed42,0.8,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,256823,0.885811,0,1
unet_black_seed42,0.9,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,248324,0.866907,0,1
unet_black_seed42,0.95,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,238040,0.836629,0,1
unet_black_seed42,0.98,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,220307,0.778095,0,1
unet_black_seed42,0.99,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,200843,0.710332,0,1
unet_black_seed42,0.995,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,179694,0.635835,0,1
unet_black_seed42,0.999,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,107262,0.379694,0,1
unet_black_seed42,0.05,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,243630,0.894079,0,1
unet_black_seed42,0.1,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,235325,0.89192,0,1
unet_black_seed42,0.2,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,227418,0.882961,0,1
unet_black_seed42,0.3,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,223194,0.876174,0,1
unet_black_seed42,0.4,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,220161,0.869733,0,1
unet_black_seed42,0.5,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,216972,0.862067,0,1
unet_black_seed42,0.6,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,213653,0.854146,0,1
unet_black_seed42,0.7,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,210321,0.845124,0,1
unet_black_seed42,0.8,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,206599,0.834611,0,1
unet_black_seed42,0.9,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,200356,0.81328,0,1
unet_black_seed42,0.95,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,193461,0.78785,0,1
unet_black_seed42,0.98,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,182022,0.746199,0,1
unet_black_seed42,0.99,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,171936,0.706007,0,1
unet_black_seed42,0.995,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,159228,0.654887,0,1
unet_black_seed42,0.999,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,121980,0.502176,0,1
unet_black_seed42,0.05,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,529441,0.846239,0,1
unet_black_seed42,0.1,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,512542,0.866763,0,1
unet_black_seed42,0.2,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,497234,0.883698,0,1
unet_black_seed42,0.3,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,488502,0.890771,0,1
unet_black_seed42,0.4,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,481211,0.894988,0,1
unet_black_seed42,0.5,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,475160,0.898401,0,1
unet_black_seed42,0.6,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,469410,0.901302,0,1
unet_black_seed42,0.7,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,463381,0.903238,0,1
unet_black_seed42,0.8,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,455604,0.904123,0,1
unet_black_seed42,0.9,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,442041,0.9051,0,1
unet_black_seed42,0.95,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,427119,0.89666,0,1
unet_black_seed42,0.98,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,400954,0.872676,0,1
unet_black_seed42,0.99,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,378874,0.832335,0,1
unet_black_seed42,0.995,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,346853,0.767428,0,1
unet_black_seed42,0.999,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,206097,0.457071,0,1
unet_black_seed42,0.05,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,304210,0.913494,0,1
unet_black_seed42,0.1,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,294181,0.916112,0,1
unet_black_seed42,0.2,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,285295,0.910004,0,1
unet_black_seed42,0.3,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,280075,0.902668,0,1
unet_black_seed42,0.4,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,276315,0.897763,0,1
unet_black_seed42,0.5,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,272819,0.89025,0,1
unet_black_seed42,0.6,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,269318,0.883104,0,1
unet_black_seed42,0.7,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,265280,0.874548,0,1
unet_black_seed42,0.8,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,260343,0.862784,0,1
unet_black_seed42,0.9,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,252944,0.843168,0,1
unet_black_seed42,0.95,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,243107,0.813805,0,1
unet_black_seed42,0.98,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,225350,0.757153,0,1
unet_black_seed42,0.99,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,211965,0.713567,0,1
unet_black_seed42,0.995,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,197232,0.664067,0,1
unet_black_seed42,0.999,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,155336,0.522902,0,1
unet_black_seed42,0.05,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,76987,0.939497,0,1
unet_black_seed42,0.1,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,75853,0.951512,0,1
unet_black_seed42,0.2,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,74911,0.959477,0,1
unet_black_seed42,0.3,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,74378,0.963167,0,1
unet_black_seed42,0.4,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,73974,0.965594,0,1
unet_black_seed42,0.5,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,73602,0.966274,0,1
unet_black_seed42,0.6,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,73159,0.966054,0,1
unet_black_seed42,0.7,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,72642,0.964619,0,1
unet_black_seed42,0.8,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,71948,0.961707,0,1
unet_black_seed42,0.9,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70693,0.953451,0,1
unet_black_seed42,0.95,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,69280,0.942877,0,1
unet_black_seed42,0.98,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,66924,0.918104,0,1
