series_key,campo,timepoint_h,cell_line,braco,seed,referencia,ai,diferenca
originais||None||D1||c1,1,8,HUVEC,YOLO M,42,0.437600,0.463978,0.026378
originais||None||D1||c2,2,12,HUVEC,YOLO M,42,0.570200,0.563930,-0.006270
originais||None||D1||c2,2,24,HUVEC,YOLO M,42,0.792900,0.802082,0.009182
originais||None||D1||c2,2,8,HUVEC,YOLO M,42,0.446700,0.440105,-0.006595
originais||None||D4||c1,1,24,HUVEC,YOLO M,42,0.809300,1.000000,0.190700
originais||None||D4||c1,1,8,HUVEC,YOLO M,42,0.600300,0.608269,0.007969
Controle||None||B1||c1,1,12,HUVEC,YOLO M,43,0.266200,0.276535,0.010335
Controle||None||B1||c1,1,8,HUVEC,YOLO M,43,0.206700,0.236857,0.030157
LUIS RAW||PEP+GB||A3||c2,2,12,HUVEC,YOLO M,43,0.823500,0.791603,-0.031897
LUIS RAW||PEP+GB||A3||c2,2,24,HUVEC,YOLO M,43,1.000000,1.000000,0.000000
LUIS RAW||PEP+GB||A3||c2,2,8,HUVEC,YOLO M,43,0.427300,0.449695,0.022395
LUIS RAW||PEP+MET3||A6||c1,1,12,HUVEC,YOLO M,43,0.462400,0.309133,-0.153267
LUIS RAW||PEP+MET3||A6||c1,1,24,HUVEC,YOLO M,43,0.684400,0.613528,-0.070872
LUIS RAW||PEP+MET3||A6||c1,1,8,HUVEC,YOLO M,43,0.289400,0.277369,-0.012031
LUIS RAW||PEP+MET3||A6||c2,2,12,HUVEC,YOLO M,43,0.338900,0.317061,-0.021839
LUIS RAW||PEP+MET3||A6||c2,2,24,HUVEC,YOLO M,43,0.635100,1.000000,0.364900
LUIS RAW||PEP+MET3||A6||c2,2,8,HUVEC,YOLO M,43,0.120000,0.192827,0.072827
LUIS RAW||PEP||E1||c1,1,12,HUVEC,YOLO M,43,0.681400,1.000000,0.318600
LUIS RAW||PEP||E1||c1,1,24,HUVEC,YOLO M,43,1.000000,1.000000,0.000000
LUIS RAW||PEP||E1||c1,1,8,HUVEC,YOLO M,43,0.536500,0.509306,-0.027194
LUIS RAW||PEP||E1||c2,2,12,HUVEC,YOLO M,43,0.784800,1.000000,0.215200
LUIS RAW||PEP||E1||c2,2,8,HUVEC,YOLO M,43,0.667900,0.504373,-0.163527
LUIS RAW||PET||C5||c1,1,12,HUVEC,YOLO M,43,0.347500,0.343693,-0.003807
LUIS RAW||PET||C5||c1,1,8,HUVEC,YOLO M,43,0.290400,0.280708,-0.009692
LUIS RAW||PET||F2||c1,1,12,HUVEC,YOLO M,43,0.021200,1.000000,0.978800
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,HUVEC,YOLO M,43,0.863000,1.000000,0.137000
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,HUVEC,YOLO M,43,0.724300,1.000000,0.275700
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,HUVEC,YOLO M,43,0.422700,0.389229,-0.033471
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,HUVEC,YOLO M,43,0.753100,0.699680,-0.053420
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,HUVEC,YOLO M,43,0.548400,0.513791,-0.034609
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,HUVEC,YOLO M,43,0.008200,0.397072,0.388872
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,HUVEC,YOLO M,43,0.062700,0.353109,0.290409
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,HUVEC,YOLO M,43,0.593100,0.586023,-0.007077
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,HUVEC,YOLO M,43,0.725500,0.732162,0.006662
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,HUVEC,YOLO M,43,0.584400,0.589251,0.004851
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,HUVEC,YOLO M,43,0.876200,0.934626,0.058426
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,HUVEC,YOLO M,43,0.604000,0.567865,-0.036135
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,HUVEC,YOLO M,43,0.614700,0.602866,-0.011834
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,HUVEC,YOLO M,43,0.698100,0.692409,-0.005691
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,HUVEC,YOLO M,43,0.594200,0.575615,-0.018585
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,HUVEC,YOLO M,43,0.117400,0.165394,0.047994
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,HUVEC,YOLO M,43,0.379300,0.379590,0.000290
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,HUVEC,YOLO M,43,0.082000,0.118941,0.036941
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,HUVEC,YOLO M,43,0.140500,0.134679,-0.005821
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,HUVEC,YOLO M,43,0.453700,0.447183,-0.006517
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,HUVEC,YOLO M,43,0.108900,0.090899,-0.018001
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,HUVEC,YOLO M,43,0.295900,0.306246,0.010346
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,HUVEC,YOLO M,43,0.231400,0.210565,-0.020835
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,HUVEC,YOLO M,43,0.215700,0.229412,0.013712
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,HUVEC,YOLO M,43,0.579400,0.542917,-0.036483
