filename,area_px,area_pct,width_px,width_sd,n_rois,status,unit_check,pw_check
24876cef41__SKOV-3__P1_PTX_F9__tp0h__ptx2_4.tiff,2017595.000,40.021,2035.837,737.276,77,ok,pixels,1.000000
267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2.tiff,3119217.000,61.873,1921.697,522.928,118,ok,pixels,1.000000
294bd4aad2__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_1_3.tiff,3541768.000,70.255,1924.762,409.070,101,ok,pixels,1.000000
2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,1632905.000,32.390,802.416,63.334,268,ok,pixels,1.000000
2e65d49d55__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_2.tiff,764231.000,15.159,387.081,52.352,146,ok,pixels,1.000000
2f0b118f20__SKOV-3__P2_GEO_F8__tp24h__Snap-39.tiff,1078811.000,21.399,1682.382,663.520,304,ok,pixels,1.000000
2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,2169713.000,43.039,1472.526,229.551,189,ok,pixels,1.000000
2f8f6fd531__SKOV-3__P1_PTX_F9__tp48h__Snap-25_2.tiff,1050491.000,20.838,1585.572,832.122,223,ok,pixels,1.000000
30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.tiff,1768470.000,35.080,1357.771,683.632,239,ok,pixels,1.000000
30d94f864c__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_2.tiff,569400.000,11.295,357.671,159.585,84,ok,pixels,1.000000
313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.tiff,2605650.000,51.686,1681.611,370.220,175,ok,pixels,1.000000
31cbdfcc41__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_2.tiff,1087489.000,21.572,563.523,82.850,210,ok,pixels,1.000000
32105a21ed__HUVEC__originais_None_D4__tp12h__D4_12HR_1.tiff,795029.000,15.770,480.620,303.279,303,ok,pixels,1.000000
32f816646e__SKOV-3__P2_CARBO+GEO_F8__tp0h__Snap-54.tiff,1939201.000,38.466,1683.923,976.128,160,ok,pixels,1.000000
365467be4f__HUVEC__originais_None_D1__tp8h__D1_8HR_2.tiff,587118.000,11.646,300.848,84.772,204,ok,pixels,1.000000
379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,1737537.000,34.466,1303.527,593.047,225,ok,pixels,1.000000
3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1.tiff,122057.000,2.421,84.183,26.687,145,ok,pixels,1.000000
3bb0ffa3c2__HUVEC__originais_None_D4__tp24h__D4_24HR_2.tiff,22616.000,0.449,111.950,77.634,131,ok,pixels,1.000000
3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2.tiff,1799207.000,35.689,1160.059,669.193,186,ok,pixels,1.000000
3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.tiff,2355282.000,46.720,1894.913,353.500,198,ok,pixels,1.000000
3e861f7b95__SKOV-3__P2_GEO_F11__tp0h__Snap-42.tiff,1538185.000,30.512,769.699,74.974,159,ok,pixels,1.000000
402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2.tiff,1788137.000,35.470,1011.593,374.359,186,ok,pixels,1.000000
431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54.tiff,296039.000,5.872,1067.229,331.098,336,ok,pixels,1.000000
4406107ac9__SKOV-3__P1_GEO_F6__tp72h__Snap-26.tiff,43722.000,0.867,125.973,63.112,313,ok,pixels,1.000000
447267f1f8__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_2.tiff,2487387.000,49.340,1708.749,355.247,174,ok,pixels,1.000000
46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.tiff,106357.000,2.110,368.814,208.235,189,ok,pixels,1.000000
47d9864f0d__SKOV-3__P1_CT_F10__tp0h__ct2_5.tiff,1999057.000,39.654,2067.789,707.852,49,ok,pixels,1.000000
4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,1853735.000,36.771,1306.512,859.226,239,ok,pixels,1.000000
4912771227__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_2.tiff,500982.000,9.938,274.182,80.409,151,ok,pixels,1.000000
491a59f24e__SKOV-3__P2_CARBO+GEO_F14__tp0h__Snap-60.tiff,1944185.000,38.565,2243.141,568.314,44,ok,pixels,1.000000
4c0807427d__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_2_2.tiff,378846.000,7.515,425.485,148.076,278,ok,pixels,1.000000
4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.tiff,2418515.000,47.974,1560.418,395.680,103,ok,pixels,1.000000
4e02b25d63__SKOV-3__P1_PTX_F2__tp24h__Snap-18_2.tiff,773952.000,15.352,423.259,96.518,172,ok,pixels,1.000000
