filename,area_px,area_pct,width_px,width_sd,n_rois,status,unit_check,pw_check
c29dd8cd83__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_1.tiff,668515.000,13.261,347.269,73.797,231,ok,pixels,1.000000
c47de367f7__HUVEC__originais_None_B5__tp12h__B5_12HR_2.tiff,776568.000,15.404,470.964,143.778,250,ok,pixels,1.000000
c5c9c83ff5__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_2.tiff,498547.000,9.889,372.636,109.920,331,ok,pixels,1.000000
c7f1856fab__BASELINE__SKOV-3__P1_GEO_F6__tp0h__75geo2_1.tiff,3176654.000,63.012,1611.030,690.618,50,ok,pixels,1.000000
c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,3564524.000,70.706,2127.005,312.856,101,ok,pixels,1.000000
c95a4fe6dd__HUVEC__Originais_1_None_A5__tp0h__A5_0HR_1_2.tiff,706642.000,14.017,347.303,38.719,228,ok,pixels,1.000000
cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,205317.000,4.073,239.312,57.484,43,ok,pixels,1.000000
cd14eeaab0__HUVEC__originais_None_D4__tp0h__D4_0HR_1.tiff,876521.000,17.387,495.308,167.551,282,ok,pixels,1.000000
cd7390ba07__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,923076.000,18.310,469.060,42.938,156,ok,pixels,1.000000
cf9152592e__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_2_2.tiff,3254981.000,64.566,1875.991,644.386,119,ok,pixels,1.000000
d1683f117e__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24hr_1.tiff,234647.000,4.654,125.225,43.082,84,ok,pixels,1.000000
d1bcf749b2__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_1.tiff,545375.000,10.818,302.370,65.884,139,ok,pixels,1.000000
d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,248310.000,4.926,308.136,103.234,134,ok,pixels,1.000000
d421258d9f__SKOV-3__P1_GEO_F6__tp24h__Snap-37_2.tiff,1260170.000,24.997,739.644,138.476,212,ok,pixels,1.000000
d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,3051159.000,60.523,1794.338,429.022,168,ok,pixels,1.000000
d7cf652f2d__HUVEC__Originais_1_None_D1__tp0h__D1_0HR_1_2.tiff,808955.000,16.047,401.368,62.161,252,ok,pixels,1.000000
d8240f29e1__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_1.tiff,4240258.000,84.110,2406.388,88.406,40,ok,pixels,1.000000
d8d6a409b0__HUVEC__Pr_-Ecl_mpsia_None_B6__tp0h__B6_0hr_1.tiff,945004.000,18.745,502.846,48.354,227,ok,pixels,1.000000
d96e0fc45b__SKOV-3__P1_GEO_F6__tp48h__Snap-37_2.tiff,2055929.000,40.782,1087.025,70.835,133,ok,pixels,1.000000
db5f1d05ce__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_1_3.tiff,3662020.000,72.640,1861.107,377.617,124,ok,pixels,1.000000
dc452cba48__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_2_2.tiff,860652.000,17.072,515.402,238.554,269,ok,pixels,1.000000
dd8ad98535__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp0h__A2_0H_2_2.tiff,1928478.000,38.253,939.123,64.489,237,ok,pixels,1.000000
de4591208a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_2_3.tiff,4512284.000,89.506,2446.674,13.143,24,ok,pixels,1.000000
def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,2066.000,0.041,22.730,6.706,52,ok,pixels,1.000000
df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,2227520.000,44.185,1519.885,890.580,214,ok,pixels,1.000000
e068a53984__SKOV-3__P2_CARBO_F5__tp48h__Snap-21.tiff,724887.000,14.379,808.329,426.083,369,ok,pixels,1.000000
e0911e22cc__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_1.tiff,1446706.000,28.697,816.184,521.794,198,ok,pixels,1.000000
e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.tiff,389260.000,7.721,414.095,131.210,74,ok,pixels,1.000000
e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,2135013.000,42.350,1640.087,812.945,161,ok,pixels,1.000000
e38b9ca083__SKOV-3__P2_CARBO_F5__tp24h__Snap-20.tiff,492432.000,9.768,580.767,319.838,337,ok,pixels,1.000000
e4bb99f05d__BASELINE__HUVEC__originais_None_A5__tp0h__A5_0HR_1.tiff,1312065.000,26.026,791.816,544.904,224,ok,pixels,1.000000
e6ddc74913__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_2_2.tiff,602885.000,11.959,323.389,67.238,138,ok,pixels,1.000000
e6ef55bb93__SKOV-3__P1_GEO+PTX_F1__tp72h__Snap-36.tiff,848069.000,16.822,452.860,164.082,257,ok,pixels,1.000000
e8f27e802d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_1_2.tiff,2420241.000,48.008,1580.386,956.061,161,ok,pixels,1.000000
eb2094e9e9__BASELINE__SKOV-3__P1_GEO+PTX_F1__tp0h__75ug+ptx1_1.tiff,3185969.000,63.197,1591.484,772.881,20,ok,pixels,1.000000
ec6c7bc6f7__SKOV-3__P2_CARBO_F9__tp24h__Snap-24.tiff,1260831.000,25.010,1821.271,671.839,400,ok,pixels,1.000000
ec74f8f5fa__HUVEC__LUIS_RAW_PET_C5__tp0h__C5_0H_1.tiff,1004566.000,19.927,493.494,39.789,240,ok,pixels,1.000000
ee865b4881__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_2_3.tiff,2588394.000,51.344,1447.130,162.079,138,ok,pixels,1.000000
eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,3732841.000,74.045,1886.275,243.356,101,ok,pixels,1.000000
ef8663825e__SKOV-3__P2_CT_F9__tp24h__Snap-09.tiff,298916.000,5.929,931.231,548.432,491,ok,pixels,1.000000
f0af91b428__SKOV-3__P1_GEO+PTX_F1__tp24h__Snap-47_2.tiff,2449215.000,48.583,1447.578,279.160,169,ok,pixels,1.000000
f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.tiff,519070.000,10.296,617.304,333.181,208,ok,pixels,1.000000
f4b158f3ff__SKOV-3__P1_GEO+PTX_F1__tp48h__Snap-47_2.tiff,808018.000,16.028,452.315,141.991,381,ok,pixels,1.000000
f65dcb0b1e__HUVEC__Originais_1_None_D1__tp12h__D1_12HR_1_2.tiff,515923.000,10.234,284.936,81.208,196,ok,pixels,1.000000
f676cb2911__HUVEC__originais_None_D4__tp24h__D4_24HR_1.tiff,167153.000,3.316,339.918,183.864,196,ok,pixels,1.000000
f6f69dd7a1__SKOV-3__P2_CARBO+GEO_F14__tp48h__Snap-60.tiff,977795.000,19.396,874.293,714.702,296,ok,pixels,1.000000
f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,185787.000,3.685,149.748,72.934,87,ok,pixels,1.000000
f9a5587463__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_2_2.tiff,1184151.000,23.489,640.663,198.532,222,ok,pixels,1.000000
fa6dd30a89__BASELINE__SKOV-3__P2_CT_F15__tp0h__Snap-15.tiff,2206680.000,43.772,1345.749,635.581,102,ok,pixels,1.000000
fbe637bf41__HUVEC__Pr_-Ecl_mpsia_None_B6__tp24h__B6_24h_1.tiff,13830.000,0.274,68.351,36.725,219,ok,pixels,1.000000
fcc8ab6862__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_2_2.tiff,1245956.000,24.715,650.124,60.578,125,ok,pixels,1.000000
fd9cb2c695__SKOV-3__P2_CT_F15__tp48h__Snap-15.tiff,440053.000,8.729,745.721,315.208,266,ok,pixels,1.000000
ff163eb7bd__HUVEC__originais_None_D1__tp12h__D1_12HR_2.tiff,456091.000,9.047,243.522,90.815,228,ok,pixels,1.000000
ff300c2862__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_1.tiff,38520.000,0.764,206.442,79.447,148,ok,pixels,1.000000
ff629ecc3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_1_2.tiff,2524682.000,50.080,1473.958,802.175,184,ok,pixels,1.000000
