ordem,pasta_triagem,arquivo_overlay,motivo,pasta_correta?,categoria_sugerida,confianca,analysis_unit,timepoint_h,campo,area_pct_whst,cell_line,adjudicado_depois_como,whst_input_file,motivo_classificado,modo_falha_computado,contencao_t0
120,_SEG_RUIM/_super,HUVEC__Originais_1_None_B5__tp12h__1__B5_12HR_1_2__a3e15c9ecc.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||B5,12,1,10.233,HUVEC,,a3e15c9ecc__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_1_2.tiff,excesso,excesso,0.8984
121,_SEG_RUIM/_super,HUVEC__Originais_1_None_B5__tp12h__2__B5_12HR_2_2__0836fc4ee3.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Originais (1)||None||B5,12,2,15.976,HUVEC,,0836fc4ee3__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_2_2.tiff,excesso,excesso,0.8356
122,_SEG_RUIM/_super,HUVEC__Originais_1_None_B5__tp24h__1__B5_24HR__67aac5fafc.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,Originais (1)||None||B5,24,1,19.445,HUVEC,,67aac5fafc__HUVEC__Originais_1_None_B5__tp24h__B5_24HR.tiff,espuria_fechada,nao_avaliavel,
123,_SEG_RUIM/_super,HUVEC__Originais_1_None_D1__tp24h__1__D1_24HR_1_2__0bdbd51083.jpg,figura totalmente fechada,sim,ferida_ja_fechada,media,Originais (1)||None||D1,24,1,11.519,HUVEC,,0bdbd51083__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_1_2.tiff,espuria_fechada,excesso,0.7894
124,_SEG_RUIM/_super,HUVEC__Pr_Ecl_mpsia_None_B6__tp12h__1__B6_12hr_1__15dfa1f8f7.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Pré-Eclâmpsia||None||B6,12,1,19.549,HUVEC,,15dfa1f8f7__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_1.tiff,excesso,deslocada,0.4506
125,_SEG_RUIM/_super,HUVEC__Pr_Ecl_mpsia_None_B6__tp12h__2__B6_12hr_2__447267f1f8.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Pré-Eclâmpsia||None||B6,12,2,49.34,HUVEC,,447267f1f8__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_2.tiff,excesso,nao_avaliavel,
126,_SEG_RUIM/_super,HUVEC__Pr_Ecl_mpsia_None_B6__tp24h__1__B6_24h_1__fbe637bf41.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,Pré-Eclâmpsia||None||B6,24,1,0.274,HUVEC,,fbe637bf41__HUVEC__Pr_-Ecl_mpsia_None_B6__tp24h__B6_24h_1.tiff,espuria_fechada,espuria_fechada,0.0000
127,_SEG_RUIM/_super,HUVEC__Controle_Saudavel_None_B1__tp12h__1__B1_12hr_1__ba850ac4ac.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Saudável||None||B1,12,1,25.072,HUVEC,,ba850ac4ac__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,excesso,excesso,0.5859
128,_SEG_RUIM/_super,HUVEC__originais_None_A1__tp00h__1__A1_0HR_1__b4e873c613.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A1,0,1,12.494,HUVEC,,b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1.tiff,excesso,nao_avaliavel,
129,_SEG_RUIM/_super,HUVEC__originais_None_A1__tp00h__2__A1_0HR_2__8bf826e872.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A1,0,2,30.903,HUVEC,,8bf826e872__HUVEC__originais_None_A1__tp0h__A1_0HR_2.tiff,excesso,nao_avaliavel,
130,_SEG_RUIM/_super,HUVEC__originais_None_A1__tp08h__1__A1_8HR_1__19b5407474.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A1,8,1,36.085,HUVEC,,19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1.tiff,excesso,deslocada,0.2563
131,_SEG_RUIM/_super,HUVEC__originais_None_A1__tp08h__2__A1_8HR_2__10c73cd55a.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A1,8,2,43.687,HUVEC,,10c73cd55a__HUVEC__originais_None_A1__tp8h__A1_8HR_2.tiff,excesso,excesso,0.5971
132,_SEG_RUIM/_super,HUVEC__originais_None_A1__tp24h__2__A1_24HR_2__7d8b79a5ad.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A1,24,2,14.11,HUVEC,,7d8b79a5ad__HUVEC__originais_None_A1__tp24h__A1_24HR_2.tiff,excesso,excesso,0.6459
133,_SEG_RUIM/_super,HUVEC__originais_None_A5__tp00h__1__A5_0HR_1__e4bb99f05d.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A5,0,1,26.026,HUVEC,,e4bb99f05d__BASELINE__HUVEC__originais_None_A5__tp0h__A5_0HR_1.tiff,excesso,nao_avaliavel,
134,_SEG_RUIM/_super,HUVEC__originais_None_A5__tp08h__1__A5_8HR_1__a99d3e28ae.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A5,8,1,67.754,HUVEC,,a99d3e28ae__HUVEC__originais_None_A5__tp8h__A5_8HR_1.tiff,excesso,deslocada,0.3730
135,_SEG_RUIM/_super,HUVEC__originais_None_A5__tp12h__1__A5_12HR_1__b83dc2f0a0.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A5,12,1,22.582,HUVEC,,b83dc2f0a0__HUVEC__originais_None_A5__tp12h__A5_12HR_1.tiff,excesso,excesso,0.7056
136,_SEG_RUIM/_super,HUVEC__originais_None_A5__tp24h__1__A5_24HR_1__a7bed1b95d.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||A5,24,1,46.376,HUVEC,,a7bed1b95d__HUVEC__originais_None_A5__tp24h__A5_24HR_1.tiff,excesso,deslocada,0.4474
137,_SEG_RUIM/_super,HUVEC__originais_None_B5__tp00h__1__B5_0HR_1__bdd482f7dc.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||B5,0,1,75.491,HUVEC,,bdd482f7dc__HUVEC__originais_None_B5__tp0h__B5_0HR_1.tiff,excesso,nao_avaliavel,
138,_SEG_RUIM/_super,HUVEC__originais_None_B5__tp08h__2__B5_8HR_2__5402a99d17.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||B5,8,2,21.037,HUVEC,,5402a99d17__HUVEC__originais_None_B5__tp8h__B5_8HR_2.tiff,excesso,nao_avaliavel,
139,_SEG_RUIM/_super,HUVEC__originais_None_B5__tp12h__2__B5_12HR_2__c47de367f7.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||B5,12,2,15.404,HUVEC,,c47de367f7__HUVEC__originais_None_B5__tp12h__B5_12HR_2.tiff,excesso,nao_avaliavel,
140,_SEG_RUIM/_super,HUVEC__originais_None_B5__tp24h__1__B5_24HR_1__984fac6443.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,originais||None||B5,24,1,40.204,HUVEC,,984fac6443__HUVEC__originais_None_B5__tp24h__B5_24HR_1.tiff,espuria_fechada,excesso,0.8620
141,_SEG_RUIM/_super,HUVEC__originais_None_D4__tp00h__1__D4_0HR_1__cd14eeaab0.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,originais||None||D4,0,1,17.387,HUVEC,,cd14eeaab0__HUVEC__originais_None_D4__tp0h__D4_0HR_1.tiff,excesso,nao_avaliavel,
142,_SEG_RUIM/_super,HUVEC__originais_None_D4__tp12h__1__D4_12HR_1__32105a21ed.jpg,"duvida, invalidaria",nao,contorno_fora_da_ferida,media,originais||None||D4,12,1,15.77,HUVEC,,32105a21ed__HUVEC__originais_None_D4__tp12h__D4_12HR_1.tiff,imagem_invalida,excesso,0.6236
143,_SEG_RUIM/_super,HUVEC__originais_None_D4__tp12h__2__D4_12HR_2__bcc023dcdc.jpg,segmentação boa,nao,ok,alta,originais||None||D4,12,2,7.45,HUVEC,,bcc023dcdc__HUVEC__originais_None_D4__tp12h__D4_12HR_2.tiff,segmentacao_ok,excesso,0.7929
144,_SEG_RUIM/_super,HUVEC__originais_None_D4__tp24h__1__D4_24HR_1__f676cb2911.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,originais||None||D4,24,1,3.316,HUVEC,,f676cb2911__HUVEC__originais_None_D4__tp24h__D4_24HR_1.tiff,espuria_fechada,espuria_fechada,0.0000
145,_SEG_RUIM/_super,HUVEC__originais_None_D4__tp24h__2__D4_24HR_2__3bb0ffa3c2.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,originais||None||D4,24,2,0.449,HUVEC,,3bb0ffa3c2__HUVEC__originais_None_D4__tp24h__D4_24HR_2.tiff,espuria_fechada,espuria_fechada,0.3745
146,_SEG_RUIM/_super,SKOV-3__P1_CT_F10__tp48h__F10__Snap_10_2__b683f7cf68.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,P1|CT|F10,48,F10,27.95,SKOV-3,,b683f7cf68__SKOV-3__P1_CT_F10__tp48h__Snap-10_2.tiff,espuria_fechada,excesso,0.6388
147,_SEG_RUIM/_super,SKOV-3__P1_CT_F8__tp24h__F8__Snap_09_2__1d20187a19.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,P1|CT|F8,24,F8,39.505,SKOV-3,,1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2.tiff,espuria_fechada,deslocada,0.2571
148,_SEG_RUIM/_super,SKOV-3__P1_CT_F8__tp48h__F8__Snap_08_2__95925abdae.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,P1|CT|F8,48,F8,75.984,SKOV-3,,95925abdae__SKOV-3__P1_CT_F8__tp48h__Snap-08_2.tiff,espuria_fechada,deslocada,0.4631
149,_SEG_RUIM/_super,SKOV-3__P1_GEO_PTX_F1__tp24h__F1__Snap_47_2__f0af91b428.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,P1|GEO+PTX|F1,24,F1,48.583,SKOV-3,,f0af91b428__SKOV-3__P1_GEO+PTX_F1__tp24h__Snap-47_2.tiff,excesso,excesso,0.8399
150,_SEG_RUIM/_super,SKOV-3__P1_GEO_F11__tp24h__F11__Snap_42_2__aceb303f81.jpg,pegou fora da ferida,sim,contorno_fora_da_ferida,alta,P1|GEO|F11,24,F11,20.789,SKOV-3,,aceb303f81__SKOV-3__P1_GEO_F11__tp24h__Snap-42_2.tiff,deslocada,excesso,0.5345
151,_SEG_RUIM/_super,SKOV-3__P1_GEO_F11__tp48h__F11__Snap_42_2__1c257ba6ee.jpg,pegou fora da ferida,sim,contorno_fora_da_ferida,alta,P1|GEO|F11,48,F11,31.25,SKOV-3,,1c257ba6ee__SKOV-3__P1_GEO_F11__tp48h__Snap-42_2.tiff,deslocada,excesso,0.5891
152,_SEG_RUIM/_super,SKOV-3__P1_GEO_F6__tp24h__F6__Snap_37_2__d421258d9f.jpg,pegou fora da ferida,sim,contorno_fora_da_ferida,alta,P1|GEO|F6,24,F6,24.997,SKOV-3,,d421258d9f__SKOV-3__P1_GEO_F6__tp24h__Snap-37_2.tiff,deslocada,deslocada,0.4689
153,_SEG_RUIM/_super,SKOV-3__P1_GEO_F6__tp48h__F6__Snap_37_2__d96e0fc45b.jpg,pegou fora da ferida,sim,contorno_fora_da_ferida,alta,P1|GEO|F6,48,F6,40.782,SKOV-3,,d96e0fc45b__SKOV-3__P1_GEO_F6__tp48h__Snap-37_2.tiff,deslocada,excesso,0.6147
154,_SEG_RUIM/_super,SKOV-3__P2_CARBO_F9__tp48h__F9__Snap_25__0270d51969.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,P2|CARBO|F9,48,F9,46.402,SKOV-3,,0270d51969__SKOV-3__P2_CARBO_F9__tp48h__Snap-25.tiff,espuria_fechada,deslocada,0.3236
155,_SEG_RUIM/_super,SKOV-3__P2_CT_F15__tp24h__F15__Snap_15__b42d83ed55.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,P2|CT|F15,24,F15,34.584,SKOV-3,,b42d83ed55__SKOV-3__P2_CT_F15__tp24h__Snap-15.tiff,excesso,excesso,0.5827
156,_SEG_RUIM/_super,SKOV-3__P2_CT_F15__tp48h__F15__Snap_15__fd9cb2c695.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,P2|CT|F15,48,F15,8.729,SKOV-3,,fd9cb2c695__SKOV-3__P2_CT_F15__tp48h__Snap-15.tiff,espuria_fechada,deslocada,0.0750
157,_SEG_RUIM/_super,SKOV-3__P2_CT_F9__tp48h__F9__Snap_09__bea62375f6.jpg,figura totalmente fechada,sim,ferida_ja_fechada,alta,P2|CT|F9,48,F9,37.761,SKOV-3,,bea62375f6__SKOV-3__P2_CT_F9__tp48h__Snap-09.tiff,espuria_fechada,deslocada,0.3058
158,_SEG_RUIM/_super,SKOV-3__P2_GEO_F8__tp00h__F8__Snap_39__81a85f25ae.jpg,invalida,nao,monolayer_nao_confluente,alta,P2|GEO|F8,0,F8,64.859,SKOV-3,,81a85f25ae__SKOV-3__P2_GEO_F8__tp0h__Snap-39.tiff,imagem_invalida,nao_avaliavel,
