ordem,pasta_triagem,arquivo_overlay,motivo,pasta_correta?,categoria_sugerida,confianca,analysis_unit,timepoint_h,campo,area_pct_whst,cell_line,adjudicado_depois_como,whst_input_file,motivo_classificado,modo_falha_computado,contencao_t0
26,_SEG_RUIM/_sub,SKOV-3__P1_GEO_PTX_F6__tp72h__F6__Snap_41__2166dad4b4.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,P1|GEO+PTX|F6,72,F6,8.951,SKOV-3,,2166dad4b4__SKOV-3__P1_GEO+PTX_F6__tp72h__Snap-41.tiff,sub,excesso,0.9658
27,_SEG_RUIM/_sub,SKOV-3__P2_CARBO_GEO_F8__tp48h__F8__Snap_54__431a247e4d.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,P2|CARBO+GEO|F8,48,F8,5.872,SKOV-3,,431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54.tiff,sub,excesso,0.9711
28,_SEG_RUIM/_sub,SKOV-3__P2_CARBO_F9__tp00h__F9__Snap_25__6fb12c61f6.jpg,"segmentação quase correta, faltou apenas uma parte",sim,pegou_so_parte_da_ferida,alta,P2|CARBO|F9,0,F9,30.715,SKOV-3,,6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25.tiff,sub,nao_avaliavel,
29,_AMBIGUO,HUVEC__Controle_Saudavel_None_A1__tp24h__2__A1_24h_2__852829b565.jpg,figura parece fechada. Precisaria ver sem overlay para confirmar,duvida,ferida_ja_fechada,media,Controle||None||A1,24,2,2.095,HUVEC,OK,852829b565__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_2.tiff,espuria_fechada,,
30,_AMBIGUO,HUVEC__LUIS_RAW_PEP_GB_A3__tp08h__1__A3_8H_1__a174960b96.jpg,"segmentação quase correta, faltou apenas uma parte",nao,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP+GB||A3,8,1,5.029,HUVEC,SEG_RUIM/sub,a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,sub,deslocada,0.0000
31,_AMBIGUO,HUVEC__LUIS_RAW_PEP_MCC_B4__tp00h__2__B4_0H_2__30d94f864c.jpg,"imagem muito ruidosa, trataria como invalida",nao,monolayer_nao_confluente,alta,LUIS RAW||PEP+MCC||B4,0,2,11.295,HUVEC,SEG_RUIM/sub,30d94f864c__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_2.tiff,imagem_invalida,nao_avaliavel,
32,_AMBIGUO,HUVEC__LUIS_RAW_PEP_MET3_A6__tp00h__1__A6_0H_1__9f614303f3.jpg,"imagem muito ruidosa, trataria como invalida",nao,monolayer_nao_confluente,alta,LUIS RAW||PEP+MET3||A6,0,1,16.895,HUVEC,SEG_RUIM/sub,9f614303f3__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_1.tiff,imagem_invalida,nao_avaliavel,
33,_AMBIGUO,HUVEC__LUIS_RAW_PEP_E1__tp12h__2__E1_12H_2__6aac6703c3.jpg,segmentação correta,nao,ok,alta,LUIS RAW||PEP||E1,12,2,4.643,HUVEC,IMG_INVALIDA,6aac6703c3__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_2.tiff,segmentacao_ok,,0.7017
34,_AMBIGUO,HUVEC__originais_None_D1__tp24h__1__D1_24HR_1__8ea9f57fed.jpg,"imagem ruidosa mas segmentação está quase boa, um pouco super",nao,super,alta,originais||None||D1,24,1,4.703,HUVEC,SEG_RUIM/super,8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1.tiff,excesso,excesso,0.8345
35,_AMBIGUO,HUVEC__originais_None_D4__tp08h__1__D4_8HR_1__89b61b11f6.jpg,segmentação pouco super,nao,super,alta,originais||None||D4,8,1,6.95,HUVEC,SEG_RUIM/super,89b61b11f6__HUVEC__originais_None_D4__tp8h__D4_8HR_1.tiff,excesso,excesso,0.9168
36,_AMBIGUO,SKOV-3__P1_GEO_PTX_F6__tp48h__F6__Snap_52_2__58a4cc19a9.jpg,"imagem muito ruidosa, trataria como invalida",nao,monolayer_nao_confluente,alta,P1|GEO+PTX|F6,48,F6,1.543,SKOV-3,OK,58a4cc19a9__SKOV-3__P1_GEO+PTX_F6__tp48h__Snap-52_2.tiff,imagem_invalida,,0.9370
37,_AMBIGUO,SKOV-3__P1_GEO_F11__tp72h__F11__Snap_31__6dfed6db6e.jpg,imagem ruidosa mas segmentação boa,nao,ok,media,P1|GEO|F11,72,F11,1.455,SKOV-3,IMG_INVALIDA,6dfed6db6e__SKOV-3__P1_GEO_F11__tp72h__Snap-31.tiff,segmentacao_ok,,0.9955
38,_AMBIGUO,SKOV-3__P1_GEO_F6__tp72h__F6__Snap_26__4406107ac9.jpg,imagem ruidosa mas segmentação boa,nao,ok,media,P1|GEO|F6,72,F6,0.867,SKOV-3,IMG_INVALIDA,4406107ac9__SKOV-3__P1_GEO_F6__tp72h__Snap-26.tiff,segmentacao_ok,,0.9902
39,_AMBIGUO,SKOV-3__P2_CARBO_F5__tp24h__F5__Snap_20__e38b9ca083.jpg,"imagem ruidosa mas segmentação está quase boa, pegou local errado e faltou uma parte",nao,contorno_fora_da_ferida,media,P2|CARBO|F5,24,F5,9.768,SKOV-3,OK,e38b9ca083__SKOV-3__P2_CARBO_F5__tp24h__Snap-20.tiff,deslocada,,0.7771
40,_AMBIGUO,SKOV-3__P2_CARBO_F5__tp48h__F5__Snap_21__e068a53984.jpg,"imagem ruidosa mas segmentação está quase boa, um pouco super",nao,super,alta,P2|CARBO|F5,48,F5,14.379,SKOV-3,SEG_RUIM/sub,e068a53984__SKOV-3__P2_CARBO_F5__tp48h__Snap-21.tiff,excesso,deslocada,0.3369
41,_SEG_RUIM/_super,HUVEC__Controle_Saudavel_None_A1__tp24h__1__A1_24h_1__7131dcbea1.jpg,"pouco super, talvez totalmente fechada",duvida,ferida_ja_fechada,media,Controle||None||A1,24,1,1.035,HUVEC,,7131dcbea1__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_1.tiff,excesso,nao_avaliavel,
42,_SEG_RUIM/_super,HUVEC__Controle_Saudavel_None_B1__tp00h__1__B1_0hr_1__0b6e433347.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Controle||None||B1,0,1,47.13,HUVEC,,0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,excesso,nao_avaliavel,
43,_SEG_RUIM/_super,HUVEC__Controle_Saudavel_None_B1__tp00h__2__B1_0hr_2__6a4edc8aeb.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Controle||None||B1,0,2,59.164,HUVEC,,6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,excesso,nao_avaliavel,
44,_SEG_RUIM/_super,HUVEC__Controle_Saudavel_None_B1__tp08h__1__B1_8hr_1__379d95a8e1.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Controle||None||B1,8,1,34.466,HUVEC,,379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,excesso,excesso,0.8406
45,_SEG_RUIM/_super,HUVEC__Controle_Saudavel_None_B1__tp08h__2__B1_8hr_2__80b3243635.jpg,pegou a ferida corretamente,nao,ok,alta,Controle||None||B1,8,2,26.102,HUVEC,,80b3243635__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_2.tiff,segmentacao_ok,excesso,0.9142
46,_SEG_RUIM/_super,HUVEC__Controle_Saudavel_None_B1__tp12h__1__B1_12hr_1__62c9f5d9a5.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,Controle||None||B1,12,1,49.312,HUVEC,,62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,excesso,excesso,0.7169
47,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PEP_GB_A3__tp24h__1__A3_24H_1__ff300c2862.jpg,totalmente fechada,nao,ferida_ja_fechada,alta,LUIS RAW||PEP+GB||A3,24,1,0.764,HUVEC,,ff300c2862__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_1.tiff,espuria_fechada,espuria_fechada,0.0000
48,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PEP_GB_A3__tp24h__2__A3_24H_2_2__545022361d.jpg,totalmente fechada,nao,ferida_ja_fechada,alta,LUIS RAW||PEP+GB||A3,24,2,0.042,HUVEC,,545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2.tiff,espuria_fechada,espuria_fechada,0.0000
