whst_input_file,cell_line,timepoint_h,analysis_unit,series_key,campo,grupo_split,is_baseline,area_pct,categoria,needs_correction,raw_file,test_image
121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,HUVEC,12,Controle||None||A1,Controle||None||A1||c1,1,Controle+Saudavel||None||A1,no,15.087,OK,0,A1 12hr 1.tiff,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png
d1683f117e__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24hr_1.tiff,HUVEC,24,Controle||None||A1,Controle||None||A1||c1,1,Controle+Saudavel||None||A1,no,4.654,DISCORDANCIA_CAMPO,1,A1 24hr 1.tiff,A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png
7131dcbea1__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_1.tiff,HUVEC,24,Controle||None||A1,Controle||None||A1||c1,1,Controle+Saudavel||None||A1,no,1.035,DISCORDANCIA_CAMPO,1,A1 24h 1.tiff,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png
4912771227__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_2.tiff,HUVEC,12,Controle||None||A1,Controle||None||A1||c2,2,Controle+Saudavel||None||A1,no,9.938,OK,0,A1 12hr 2.tiff,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png
852829b565__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_2.tiff,HUVEC,24,Controle||None||A1,Controle||None||A1||c2,2,Controle+Saudavel||None||A1,no,2.095,DISCORDANCIA_CAMPO,1,A1 24h 2.tiff,A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png
0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,HUVEC,0,Controle||None||B1,Controle||None||B1||c1,1,Controle+Saudavel||None||B1,no,47.13,OK,0,B1 0hr 1.tiff,B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png
379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,HUVEC,8,Controle||None||B1,Controle||None||B1||c1,1,Controle+Saudavel||None||B1,no,34.466,OK,0,B1 8hr 1.tiff,B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png
62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,HUVEC,12,Controle||None||B1,Controle||None||B1||c1,1,Controle+Saudavel||None||B1,no,49.312,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,B1 12hr 1.tiff,B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png
6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,HUVEC,0,Controle||None||B1,Controle||None||B1||c2,2,Controle+Saudavel||None||B1,no,59.164,OK,0,B1 0hr 2.tiff,B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png
80b3243635__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_2.tiff,HUVEC,8,Controle||None||B1,Controle||None||B1||c2,2,Controle+Saudavel||None||B1,no,26.102,OK,0,B1 8hr 2.tiff,B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png
9487facce2__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_1.tiff,HUVEC,0,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c1,1,LUIS RAW||PEP+GB||A3,no,0.076,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_SUB,1,A3 0H 1.tiff,A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png
a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,HUVEC,8,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c1,1,LUIS RAW||PEP+GB||A3,no,5.029,FALHA_CLOSURE_NEG,1,A3 8H 1.tiff,A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png
cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,HUVEC,12,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c1,1,LUIS RAW||PEP+GB||A3,no,4.073,FALHA_CLOSURE_NEG,1,A3 12H 1.tiff,A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png
ff300c2862__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_1.tiff,HUVEC,24,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c1,1,LUIS RAW||PEP+GB||A3,no,0.764,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG,1,A3 24H 1.tiff,A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png
e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.tiff,HUVEC,0,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c2,2,LUIS RAW||PEP+GB||A3,no,7.721,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG,1,A3 0H 2.tiff,A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png
e6ddc74913__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_2_2.tiff,HUVEC,8,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c2,2,LUIS RAW||PEP+GB||A3,no,11.959,FALHA_CLOSURE_NEG,1,A3 8H 2 (2).tiff,A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png
f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,HUVEC,12,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c2,2,LUIS RAW||PEP+GB||A3,no,3.685,OK,0,A3 12H 2.tiff,A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png
545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2.tiff,HUVEC,24,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c2,2,LUIS RAW||PEP+GB||A3,no,0.042,DISCORDANCIA_CAMPO,1,A3 24H 2 (2).tiff,A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png
c29dd8cd83__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_1.tiff,HUVEC,0,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c1,1,LUIS RAW||PEP+MCC||B4,no,13.261,OK,0,B4 0H 1.tiff,B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png
e0911e22cc__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_1.tiff,HUVEC,8,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c1,1,LUIS RAW||PEP+MCC||B4,no,28.697,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,B4 8H 1.tiff,B4 8H 1_png.rf.OVZZyofXQpVrU06rEdEV.png
46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.tiff,HUVEC,12,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c1,1,LUIS RAW||PEP+MCC||B4,no,2.11,DISCORDANCIA_CAMPO+FALHA_SUB,1,B4 12H 1.tiff,B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png
e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,HUVEC,24,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c1,1,LUIS RAW||PEP+MCC||B4,no,42.35,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,B4 24H 1 (2).tiff,B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png
30d94f864c__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_2.tiff,HUVEC,0,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c2,2,LUIS RAW||PEP+MCC||B4,no,11.295,OK,0,B4 0H 2.tiff,B4 0H 2_png.rf.rXION3PvUG9p2y5KH5ZG.png
9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.tiff,HUVEC,8,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c2,2,LUIS RAW||PEP+MCC||B4,no,3.219,DISCORDANCIA_CAMPO,1,B4 8H 2.tiff,B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png
9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2.tiff,HUVEC,12,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c2,2,LUIS RAW||PEP+MCC||B4,no,44.578,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,B4 12H 2.tiff,B4 12H 2_png.rf.BUDIsAimJHwizKA26kde.png
1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.tiff,HUVEC,24,LUIS RAW||PEP+MCC||B4,LUIS RAW||PEP+MCC||B4||c2,2,LUIS RAW||PEP+MCC||B4,no,8.738,DISCORDANCIA_CAMPO,1,B4 24H 2 (2).tiff,B4 24H 2_png.rf.Dy3NkPc0L9HXhRCtCbkW.png
9f614303f3__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_1.tiff,HUVEC,0,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c1,1,LUIS RAW||PEP+MET3||A6,no,16.895,DISCORDANCIA_CAMPO,1,A6 0H 1.tiff,A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png
a66cba3317__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_1.tiff,HUVEC,8,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c1,1,LUIS RAW||PEP+MET3||A6,no,16.337,OK,0,A6 8H 1.tiff,A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png
628814a792__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_1.tiff,HUVEC,12,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c1,1,LUIS RAW||PEP+MET3||A6,no,12.361,OK,0,A6 12H 1.tiff,A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png
52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.tiff,HUVEC,24,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c1,1,LUIS RAW||PEP+MET3||A6,no,6.263,OK,0,A6 24H 1.tiff,A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png
161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.tiff,HUVEC,0,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c2,2,LUIS RAW||PEP+MET3||A6,no,0.128,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_SUB,1,A6 0H 2.tiff,A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png
226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,HUVEC,8,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c2,2,LUIS RAW||PEP+MET3||A6,no,23.08,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,A6 8H 2.tiff,A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png
2e65d49d55__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_2.tiff,HUVEC,12,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c2,2,LUIS RAW||PEP+MET3||A6,no,15.159,FALHA_CLOSURE_NEG,1,A6 12H 2.tiff,A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png
d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,HUVEC,24,LUIS RAW||PEP+MET3||A6,LUIS RAW||PEP+MET3||A6||c2,2,LUIS RAW||PEP+MET3||A6,no,4.926,FALHA_CLOSURE_NEG,1,A6 24H 2.tiff,A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png
aceb4fb866__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_1.tiff,HUVEC,0,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c1,1,LUIS RAW||PEP||E1,no,20.328,OK,0,E1 0H 1.tiff,E1 0H 1_png.rf.O4klFnPAFBZQG7ZiiWoa.png
d1bcf749b2__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_1.tiff,HUVEC,8,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c1,1,LUIS RAW||PEP||E1,no,10.818,OK,0,E1 8H 1.tiff,E1 8H 1_png.rf.8l6bvVJjLSjiFIlOhJkG.png
def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,HUVEC,12,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c1,1,LUIS RAW||PEP||E1,no,0.041,DISCORDANCIA_CAMPO+FALHA_SUB,1,E1 12H 1.tiff,E1 12H 1_png.rf.MXhOPdUnNbYD4WTRbftP.png
9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.tiff,HUVEC,24,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c1,1,LUIS RAW||PEP||E1,no,0.966,OK,0,E1 24H 1.tiff,E1 24H 1_png.rf.JjdLiNmCus3kSa50aOeW.png
31cbdfcc41__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_2.tiff,HUVEC,0,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c2,2,LUIS RAW||PEP||E1,no,21.572,OK,0,E1 0H 2.tiff,E1 0H 2_png.rf.dwk6Z6HVga7ttj23PmV9.png
609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,HUVEC,8,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c2,2,LUIS RAW||PEP||E1,no,7.165,OK,0,E1 8H 2.tiff,E1 8H 2_png.rf.5qtx5quA0obTJbOUZCxP.png
6aac6703c3__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_2.tiff,HUVEC,12,LUIS RAW||PEP||E1,LUIS RAW||PEP||E1||c2,2,LUIS RAW||PEP||E1,no,4.643,DISCORDANCIA_CAMPO,1,E1 12H 2.tiff,E1 12H 2_png.rf.GKeGTBMimaglOZhGi5n6.png
ec74f8f5fa__HUVEC__LUIS_RAW_PET_C5__tp0h__C5_0H_1.tiff,HUVEC,0,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c1,1,LUIS RAW||PET||C5,no,19.927,OK,0,C5 0H 1.tiff,C5 0H 1_png.rf.OdwF3vyzWYOgZ8CvxU5t.png
05932b157b__HUVEC__LUIS_RAW_PET_C5__tp8h__C5_8H_1.tiff,HUVEC,8,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c1,1,LUIS RAW||PET||C5,no,16.151,OK,0,C5 8H 1.tiff,C5 8H 1_png.rf.m0k3TjlxKvLXDFhuBq52.png
30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.tiff,HUVEC,12,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c1,1,LUIS RAW||PET||C5,no,35.08,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,C5 12H 1.tiff,C5 12H 1_png.rf.OLiywuVh8Y6xj17HnU6e.png
c5c9c83ff5__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_2.tiff,HUVEC,12,LUIS RAW||PET||C5,LUIS RAW||PET||C5||c2,2,LUIS RAW||PET||C5,no,9.889,DISCORDANCIA_CAMPO,1,C5 12H 2.tiff,C5 12H 2_png.rf.yGOWuMwCESVagvk7Q4HY.png
125425d796__HUVEC__LUIS_RAW_PET_F2__tp0h__F2_0H_1.tiff,HUVEC,0,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c1,1,LUIS RAW||PET||F2,no,24.153,OK,0,F2 0H 1.tiff,F2 0H 1_png.rf.zPl6vPkH5HpqtxJsWJxj.png
7e12b751cc__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_1.tiff,HUVEC,12,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c1,1,LUIS RAW||PET||F2,no,23.64,OK,0,F2 12H 1.tiff,F2 12H 1_png.rf.h05DU2gxBlXL6JdotHmg.png
ab1e438082__HUVEC__LUIS_RAW_PET_F2__tp8h__F2_8H_2.tiff,HUVEC,8,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c2,2,LUIS RAW||PET||F2,no,14.038,OK,0,F2 8H 2.tiff,F2 8H 2_png.rf.dUFZVFJ0aVESmoGKjJ05.png
be0b2a74bf__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_2.tiff,HUVEC,12,LUIS RAW||PET||F2,LUIS RAW||PET||F2||c2,2,LUIS RAW||PET||F2,no,25.522,FALHA_NAO_MONOTONICO,1,F2 12H 2.tiff,F2 12H 2_png.rf.2goGI5xvDCGG2PJZ8Its.png
eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,HUVEC,0,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,no,74.045,OK,0,D4 0H 1.tiff,D4 0H 1_png.rf.hIDWQ46StqSUcKyGmBYY.png
4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,no,36.771,OK,0,D4 8H 1.tiff,D4 8H 1_png.rf.a8mANb97avVu4hPsbo7a.png
df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,no,44.185,FALHA_NAO_MONOTONICO,1,D4 12H 1.tiff,D4 12H 1_png.rf.rmwAgsyRm1ZzZ55GuiPB.png
d8240f29e1__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_1.tiff,HUVEC,24,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,no,84.11,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,D4 24H 1.tiff,D4 24H 1_png.rf.4NmTRoRHXyugKUw10i8s.png
876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,HUVEC,0,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,no,95.116,FALHA_CLOSURE_NEG+FALHA_SUPER,1,D4 0H 2.tiff,D4 0H 2_png.rf.7RFXNZEElcEIxiB134la.png
67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,no,30.468,OK,0,D4 8H 2.tiff,D4 8H 2_png.rf.mnoVDerLhE6PpOQcbUog.png
d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,no,60.523,FALHA_NAO_MONOTONICO,1,D4 12H 2.tiff,D4 12H 2_png.rf.txyJ67o8LXpC3sVtUoTH.png
9f5991f031__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_2.tiff,HUVEC,24,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,no,96.736,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO+FALHA_SUPER,1,D4 24H 2.tiff,D4 24H 2_png.rf.RklTkqfkG2jxmrJIVlDw.png
4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.tiff,HUVEC,0,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,no,47.974,OK,0,C5 0H 1 (2).tiff,C5 0H 1_png.rf.qfmzlYXXLFM1UbctuHo5.png
c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,HUVEC,8,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,no,70.706,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,C5 8H 1 (2).tiff,C5 8H 1_png.rf.QRwHfTeZ3iXOWs30KZOS.png
2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,HUVEC,12,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,no,43.039,OK,0,C5 12H 1 (2).tiff,C5 12H 1_png.rf.eqPnAQCG5aI0rvfthMNV.png
6af51551c0__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_1_2.tiff,HUVEC,24,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,no,82.762,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,C5 24H 1 (2).tiff,C5 24H 1_png.rf.GRabFdMEvh7NdJQw7srC.png
cf9152592e__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_2_2.tiff,HUVEC,0,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,no,64.566,OK,0,C5 0H 2 (2).tiff,C5 0H 2_png.rf.UQiYCwrvqp79phsQH2z3.png
77136aab22__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_2_2.tiff,HUVEC,8,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,no,60.516,OK,0,C5 8H 2 (2).tiff,C5 8H 2_png.rf.Su3UAyP9dztNqZtfn0u1.png
b248b322dd__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_2_2.tiff,HUVEC,12,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,no,64.035,OK,0,C5 12H 2 (2).tiff,C5 12H 2_png.rf.oLP5pb7BztRNGjNEDlAS.png
17691aa585__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_2_2.tiff,HUVEC,24,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,no,75.585,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,C5 24H 2 (2).tiff,C5 24H 2_png.rf.1BqtMMJEWOuzOCOM43Zl.png
2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,HUVEC,0,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,no,32.39,OK,0,B1 0H 1 (2).tiff,B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png
7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,no,63.688,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,B1 8H 1 (2).tiff,B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png
b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.tiff,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,no,53.277,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG,1,B1 12H 1 (2).tiff,B1 12H 1_png.rf.VB9B0BXSFCbQoytWKIkL.png
