series_key,cell_line,analysis_unit,campo,timepoint_h,area_pct,closure_fraction,procedencia_area,analisavel
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,2,24,3.497,0.8762,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP||A2||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,1,0,38.253,0.0,automatica,nao
Migração (PET e PEP) n2 - RAW||PEP||A2||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,1,12,53.112,-0.3884,automatica,nao
Migração (PET e PEP) n2 - RAW||PEP||A2||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,1,24,70.255,-0.8366,automatica,nao
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,2,0,38.253,0.0,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,2,8,15.523,0.5942,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,2,12,14.74,0.6147,corrigida,sim
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,2,24,11.548,0.6981,corrigida,sim
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,1,0,21.909,0.0,corrigida,sim
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,1,8,20.112,0.082,corrigida,sim
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,1,12,19.337,0.1174,corrigida,sim
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,1,24,13.598,0.3793,corrigida,sim
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,2,0,24.44,0.0,corrigida,sim
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,2,8,21.778,0.1089,corrigida,sim
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,2,12,21.005,0.1405,corrigida,sim
