whst_input_file,cell_line,analysis_unit,series_key,campo,timepoint_h,area_pct_final,area_pct_auto,fonte_area,categoria
b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,13.598,42.255,corrigida,SEG_RUIM/super
313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.tiff,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,13.352,51.686,corrigida,SEG_RUIM/super
590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW||None||D1||c1,1,0,16.031,39.833,corrigida,SEG_RUIM/super
b4778b9433__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_2_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW||None||D1||c2,2,0,17.89,16.33,corrigida,OK
54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,12.321,46.625,corrigida,SEG_RUIM/super
246463cc3a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_2.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,13.773,16.654,corrigida,OK
ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,11.288,69.25,corrigida,SEG_RUIM/super
61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,14.031,92.334,corrigida,SEG_RUIM/super
2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW||None||D1||c1,1,24,,0.254,invalida,IMG_INVALIDA
4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.tiff,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,7.524,9.127,corrigida,OK
