whst_input_file,area_px_corrigida,area_pct_corrigida,area_pct_auto,status
19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1.tiff,347442,6.892,36.085,ok
10c73cd55a__HUVEC__originais_None_A1__tp8h__A1_8HR_2.tiff,635582,12.607,43.687,ok
7d8b79a5ad__HUVEC__originais_None_A1__tp24h__A1_24HR_2.tiff,NA,NA,14.110,invalida
e4bb99f05d__BASELINE__HUVEC__originais_None_A5__tp0h__A5_0HR_1.tiff,750345,14.884,26.026,ok
a99d3e28ae__HUVEC__originais_None_A5__tp8h__A5_8HR_1.tiff,533541,10.583,67.754,ok
b83dc2f0a0__HUVEC__originais_None_A5__tp12h__A5_12HR_1.tiff,454755,9.021,22.582,ok
a7bed1b95d__HUVEC__originais_None_A5__tp24h__A5_24HR_1.tiff,NA,NA,46.376,invalida
8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1.tiff,108750,2.157,4.703,ok
0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2.tiff,275286,5.461,4.732,ok
3bb0ffa3c2__HUVEC__originais_None_D4__tp24h__D4_24HR_2.tiff,0,0.000,0.449,fechada
b683f7cf68__SKOV-3__P1_CT_F10__tp48h__Snap-10_2.tiff,0,0.000,27.950,fechada
1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2.tiff,0,0.000,39.505,fechada
95925abdae__SKOV-3__P1_CT_F8__tp48h__Snap-08_2.tiff,0,0.000,75.984,fechada
431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54.tiff,752976,14.936,5.872,ok
e38b9ca083__SKOV-3__P2_CARBO_F5__tp24h__Snap-20.tiff,479874,9.519,9.768,ok
e068a53984__SKOV-3__P2_CARBO_F5__tp48h__Snap-21.tiff,201618,3.999,14.379,ok
6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25.tiff,1993563,39.545,30.715,ok
0270d51969__SKOV-3__P2_CARBO_F9__tp48h__Snap-25.tiff,0,0.000,46.402,fechada
b42d83ed55__SKOV-3__P2_CT_F15__tp24h__Snap-15.tiff,559770,11.104,34.584,ok
fd9cb2c695__SKOV-3__P2_CT_F15__tp48h__Snap-15.tiff,0,0.000,8.729,fechada
bea62375f6__SKOV-3__P2_CT_F9__tp48h__Snap-09.tiff,0,0.000,37.761,fechada
609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,361214,7.165,7.165,ok
