grupo,analysis_unit,tp,arquivo,param,radius,threshold,sat,area_pct,area_pct_imagej_P0,categoria_v2
OK,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,P0,20,100,0.001,74.067,74.045,OK
OK,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,P1,10,100,0.001,87.158,74.045,OK
OK,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,P2,20,60,0.001,65.382,74.045,OK
OK,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,P3,20,100,0.01,69.68,74.045,OK
OK,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,0,2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,P0,20,100,0.001,32.392,32.39,OK
OK,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,0,2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,P1,10,100,0.001,42.258,32.39,OK
OK,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,0,2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,P2,20,60,0.001,30.697,32.39,OK
OK,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,0,2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,P3,20,100,0.01,31.432,32.39,OK
OK,Migração (PET e PEP) n3 - RAW||None||D1,0,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,P0,20,100,0.001,39.997,39.833,OK
OK,Migração (PET e PEP) n3 - RAW||None||D1,0,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,P1,10,100,0.001,75.136,39.833,OK
OK,Migração (PET e PEP) n3 - RAW||None||D1,0,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,P2,20,60,0.001,14.732,39.833,OK
OK,Migração (PET e PEP) n3 - RAW||None||D1,0,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,P3,20,100,0.01,21.653,39.833,OK
OK,Originais (1)||None||A1,0,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,P0,20,100,0.001,38.096,38.19,OK
OK,Originais (1)||None||A1,0,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,P1,10,100,0.001,87.398,38.19,OK
OK,Originais (1)||None||A1,0,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,P2,20,60,0.001,15.017,38.19,OK
OK,Originais (1)||None||A1,0,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,P3,20,100,0.01,25.728,38.19,OK
