test_image,group_key,cell_line,timepoint_h,whst_input_file,ann_area_px,ann_pct,whst,ratio,flag
D1 0HR 1_png.rf.pXGKiyw6dpCjGOogRcBS.png,Originais (1)||None||D1,HUVEC,0,d7cf652f2d__HUVEC__Originais_1_None_D1__tp0h__D1_0HR_1_2.tiff,806728.5,16.002,808955.0,0.997,OK
Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png,P1|GEO+PTX|F6,SKOV-3,24,07006e35fe__SKOV-3__P1_GEO+PTX_F6__tp24h__Snap-52_2.tiff,1290255.0,25.594,1280378.0,1.008,OK
B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,HUVEC,0,2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,1661623.0,32.96,1632905.0,1.018,OK
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,Migração (PET e PEP) n2 - RAW||PEP||A2,HUVEC,0,dd8ad98535__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp0h__A2_0H_2_2.tiff,1963274.5,38.944,1928478.0,1.018,OK
Snap-60_png.rf.RpcRTxyR97nXnbvR3urB.png,P2|CARBO+GEO|F14,SKOV-3,0,491a59f24e__SKOV-3__P2_CARBO+GEO_F14__tp0h__Snap-60.tiff,1979246.5,39.261,1944185.0,1.018,OK
D1 12HR 2_png.rf.c61b9Qj6PnDGEcivk5oi.png,originais||None||D1,HUVEC,12,ff163eb7bd__HUVEC__originais_None_D1__tp12h__D1_12HR_2.tiff,465615.5,9.236,456091.0,1.021,OK
ct2_3_png.rf.05gH6Q4BVtzjbT8GvpXk.png,P1|CT|F8,SKOV-3,0,8ece12b29e__SKOV-3__P1_CT_F8__tp0h__ct2_3.tiff,1876059.5,37.214,1838099.0,1.021,OK
ct2_5_png.rf.V6uuFIT0hRf8VvfkI0ft.png,P1|CT|F10,SKOV-3,0,47d9864f0d__SKOV-3__P1_CT_F10__tp0h__ct2_5.tiff,2049428.5,40.653,1999057.0,1.025,OK
ptx2_4_png.rf.YEH27Bh4es5Hup4qomsA.png,P1|PTX|F9,SKOV-3,0,24876cef41__SKOV-3__P1_PTX_F9__tp0h__ptx2_4.tiff,2072596.5,41.112,2017595.0,1.027,OK
Snap-42_png.rf.vXnbjKiFLjrY6iWZoR1j.png,P2|GEO|F11,SKOV-3,0,3e861f7b95__SKOV-3__P2_GEO_F11__tp0h__Snap-42.tiff,1583818.5,31.417,1538185.0,1.03,OK
ptx1_2_png.rf.mOSxinMIUOQxQUjpAhxb.png,P1|PTX|F2,SKOV-3,0,61e00c0106__SKOV-3__P1_PTX_F2__tp0h__ptx1_2.tiff,1423789.5,28.242,1378092.0,1.033,OK
D4 0HR 2_png.rf.EwNjDB9ss3gmM00iJqPT.png,originais||None||D4,HUVEC,0,5870bb947e__HUVEC__originais_None_D4__tp0h__D4_0HR_2.tiff,857916.0,17.018,828406.0,1.036,OK
D3 0H 1_png.rf.jWsUip53LaCF4OaEEFcb.png,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,HUVEC,0,9c4fdbdc3c__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_1_2.tiff,1149881.0,22.809,1104525.0,1.041,OK
D1 0HR 2_png.rf.Ak8bfHD2sNvAS5ARU8WU.png,Originais (1)||None||D1,HUVEC,0,90bf65dbb4__HUVEC__Originais_1_None_D1__tp0h__D1_0HR_2_2.tiff,837155.0,16.606,794289.0,1.054,OK
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,Originais (1)||None||A5,HUVEC,0,156f09d73b__HUVEC__Originais_1_None_A5__tp0h__A5_0HR_2_2.tiff,835292.5,16.569,791008.0,1.056,OK
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,LUIS RAW||PEP+MET3||A6,HUVEC,12,2e65d49d55__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_2.tiff,811090.0,16.089,764231.0,1.061,OK
B1 12H 2_png.rf.cFU7xmBfmqqkIIa5q7nh.png,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,HUVEC,12,f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.tiff,553533.0,10.98,519070.0,1.066,OK
C5 0H 1_png.rf.OdwF3vyzWYOgZ8CvxU5t.png,LUIS RAW||PET||C5,HUVEC,0,ec74f8f5fa__HUVEC__LUIS_RAW_PET_C5__tp0h__C5_0H_1.tiff,1073626.3,21.297,1004566.0,1.069,OK
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,Originais (1)||None||A5,HUVEC,0,c95a4fe6dd__HUVEC__Originais_1_None_A5__tp0h__A5_0HR_1_2.tiff,762388.0,15.123,706642.0,1.079,OK
D1 0H 2_png.rf.In3g26PLvIPVilZ9guvK.png,Migração (PET e PEP) n3 - RAW||None||D1,HUVEC,0,b4778b9433__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_2_3.tiff,888993.0,17.634,823229.0,1.08,OK
B5 0HR 1_png.rf.J6hP1h51BcAFg4KFN6lN.png,Originais (1)||None||B5,HUVEC,0,1da4221988__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_1_2.tiff,913062.0,18.112,843189.0,1.083,OK
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,LUIS RAW||PEP+MET3||A6,HUVEC,8,a66cba3317__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_1.tiff,892408.1,17.702,823586.0,1.084,OK
Snap-36_271_png.rf.sfFr7wfzXmMz4JWE34hv.png,P1|GEO+PTX|F1,SKOV-3,72,e6ef55bb93__SKOV-3__P1_GEO+PTX_F1__tp72h__Snap-36.tiff,919204.5,18.233,848069.0,1.084,OK
Snap-60_12_png.rf.AiY33Mo4Daj2M4cZgUnh.png,P2|CARBO+GEO|F14,SKOV-3,48,f6f69dd7a1__SKOV-3__P2_CARBO+GEO_F14__tp48h__Snap-60.tiff,1063283.0,21.091,977795.0,1.087,OK
D1 0HR 1_png.rf.X95BBgcop2LdYBHvWj7G.png,originais||None||D1,HUVEC,0,857d6a0b73__HUVEC__originais_None_D1__tp0h__D1_0HR_1.tiff,919325.9,18.236,844788.0,1.088,OK
E1 0H 2_png.rf.dwk6Z6HVga7ttj23PmV9.png,LUIS RAW||PEP||E1,HUVEC,0,31cbdfcc41__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_2.tiff,1200947.3,23.822,1087489.0,1.104,OK
Snap-47_159_png.rf.iWHwHxKcpvJIH7RHtxRu.png,P1|GEO+PTX|F1,SKOV-3,48,f4b158f3ff__SKOV-3__P1_GEO+PTX_F1__tp48h__Snap-47_2.tiff,895529.0,17.764,808018.0,1.108,OK
E1 0H 1_png.rf.O4klFnPAFBZQG7ZiiWoa.png,LUIS RAW||PEP||E1,HUVEC,0,aceb4fb866__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_1.tiff,1162236.5,23.054,1024822.0,1.134,OK
B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,HUVEC,0,fcc8ab6862__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_2_2.tiff,1421226.0,28.192,1245956.0,1.141,OK
B1 8H 2_png.rf.gA6SnVr547LgfEenVrRi.png,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,HUVEC,8,0b9742f9a3__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_2_2.tiff,647965.5,12.853,563839.0,1.149,OK
F2 8H 2_png.rf.dUFZVFJ0aVESmoGKjJ05.png,LUIS RAW||PET||F2,HUVEC,8,ab1e438082__HUVEC__LUIS_RAW_PET_F2__tp8h__F2_8H_2.tiff,816998.5,16.206,707678.0,1.154,OK
D4 8HR 2_png.rf.1gESfR3nmJtUf5QdqE6H.png,originais||None||D4,HUVEC,8,0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2.tiff,277043.5,5.495,238542.0,1.161,OK
Snap-25_124_png.rf.qhyZRieBWx1vF8Vfj4ck.png,P1|PTX|F9,SKOV-3,48,2f8f6fd531__SKOV-3__P1_PTX_F9__tp48h__Snap-25_2.tiff,1283607.0,25.462,1050491.0,1.222,OK
Snap-54_106_png.rf.VOFbghvZhHsPNSqUFFkZ.png,P2|CARBO+GEO|F8,SKOV-3,24,757d325f1f__SKOV-3__P2_CARBO+GEO_F8__tp24h__Snap-54.tiff,963841.5,19.119,788127.0,1.223,OK
E1 12H 2_png.rf.GKeGTBMimaglOZhGi5n6.png,LUIS RAW||PEP||E1,HUVEC,12,6aac6703c3__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_2.tiff,287090.0,5.695,234049.0,1.227,OK
F2 0H 1_png.rf.zPl6vPkH5HpqtxJsWJxj.png,LUIS RAW||PET||F2,HUVEC,0,125425d796__HUVEC__LUIS_RAW_PET_F2__tp0h__F2_0H_1.tiff,1500669.6,29.767,1217612.0,1.232,OK
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,LUIS RAW||PEP+GB||A3,HUVEC,12,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,231179.5,4.586,185787.0,1.244,OK
Snap-25_png.rf.NZSC2ldRJFXa4414jttF.png,P2|CARBO|F9,SKOV-3,0,6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25.tiff,2011008.0,39.891,1548426.0,1.299,OK
B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,LUIS RAW||PEP+MCC||B4,HUVEC,0,c29dd8cd83__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_1.tiff,869411.2,17.246,668515.0,1.301,OK
Snap-18_122_png.rf.rEzRHI9DOsMmEv8NXGFz.png,P1|PTX|F2,SKOV-3,48,691f27f27e__SKOV-3__P1_PTX_F2__tp48h__Snap-18_2.tiff,413803.1,8.208,317653.0,1.303,OK
A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,LUIS RAW||PEP+MET3||A6,HUVEC,24,52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.tiff,419997.6,8.331,315723.0,1.33,OK
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,LUIS RAW||PEP+MET3||A6,HUVEC,12,628814a792__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_1.tiff,848650.1,16.834,623136.0,1.362,OK
Snap-39_77_png.rf.FBpms3tKgC2fVOg0pxu7.png,P2|GEO|F8,SKOV-3,24,2f0b118f20__SKOV-3__P2_GEO_F8__tp24h__Snap-39.tiff,1478381.5,29.325,1078811.0,1.37,OK
B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png,LUIS RAW||PEP+MCC||B4,HUVEC,8,9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.tiff,225645.4,4.476,162268.0,1.391,OK
E1 8H 2_png.rf.5qtx5quA0obTJbOUZCxP.png,LUIS RAW||PEP||E1,HUVEC,8,609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,512679.5,10.17,361214.0,1.419,OK
B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png,LUIS RAW||PEP+MCC||B4,HUVEC,12,46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.tiff,153250.5,3.04,106357.0,1.441,OK
A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png,LUIS RAW||PEP+MET3||A6,HUVEC,0,9f614303f3__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_1.tiff,1241512.3,24.627,851740.0,1.458,OK
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,LUIS RAW||PEP+GB||A3,HUVEC,8,a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,373210.0,7.403,253515.0,1.472,OK
